"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Serotonergic synapse","29/113",0.0898818794669058,0.177516711947139,0,0,1.37377792879796,3.30978673048006,"MAOB;MAOA;ITPR1;ITPR2;CACNA1C;HTR2A;PTGS2;GNAI1;PTGS1;NRAS;GNG2;GNG5;CASP3;PRKACB;HRAS;MAPK3;MAP2K1;KCND2;DUSP1;PLA2G4C;PLA2G4A;ALOX15B;GNG11;PLCB4;GNAQ;GNB2;GNB4;RAF1;PLCB1"
"Vitamin digestion and absorption","8/24",0.0915015432398686,0.178853420350585,0,0,1.98767123287671,4.753315874862,"SLC5A6;CUBN;SCARB1;ABCC1;SLC19A3;APOB;PLB1;SLC19A2"
"Tyrosine metabolism","11/36",0.0916906775215023,0.178853420350585,0,0,1.74947158524427,4.18007293380658,"ALDH3A1;ADH1C;MAOB;ADH1B;MAOA;ADH1A;ALDH3B1;AOX1;FAH;ADH5;ADH6"
"PPAR signaling pathway","20/74",0.093034055673507,0.180360500569498,0,0,1.47324691666435,3.49865154847945,"CPT1A;HMGCS1;GK;ACSL1;ACSL4;ACSL3;SORBS1;FABP3;RXRA;FABP4;SCP2;ACOX2;SCD;ME1;ME3;PPARG;ANGPTL4;PPARA;PLTP;SLC27A4"
"Th1 and Th2 cell differentiation","24/92",0.0990033349026499,0.190762523349008,0,0,1.40408631569657,3.24709246174587,"JAG2;STAT5A;NOTCH3;STAT5B;JUN;NOTCH1;JAG1;CHUK;IFNGR1;STAT1;RBPJ;MAPK14;DLL1;RELA;IKBKB;DLL4;MAPK10;NFKBIA;MAPK11;MAF;IL12A;JAK2;MAPK3;NFKBIB"
"Cocaine addiction","14/49",0.10001124381138,0.190869742414319,0,0,1.59062110251933,3.66236160288005,"GPSM1;JUN;MAOB;MAOA;GNAI1;RELA;CREB1;DLG4;CREB3L1;CREB3L2;PPP1R1B;PRKACB;ATF4;CREB5"
"Vitamin B6 metabolism","3/6",0.100267016584737,0.190869742414319,0,0,3.97363184079602,9.13902932603783,"PHOSPHO2;PSAT1;AOX1"
"Transcriptional misregulation in cancer","46/192",0.108209215441377,0.204755162152545,0,0,1.25417382827973,2.78889222717073,"CD40;CDKN1A;CEBPB;HDAC2;KMT2A;LDB1;DOT1L;FOXO1;RELA;IGF1R;CCND2;RXRA;SIX4;PLAU;MYC;NFKBIZ;GRIA3;RUNX1T1;SMAD1;ARNT2;MEF2C;GADD45B;EYA1;ZBTB16;IGF1;ETV5;MLF1;RUNX1;GADD45G;DDB2;TGFBR2;CCNA2;PER2;MAF;NR4A3;ZEB1;BCL6;EWSR1;DDIT3;MDM2;BMP2K;PPARG;NUPR1;TCF3;TP53;MET"
"Salivary secretion","24/93",0.109069601371768,0.205154726389753,0,0,1.38365026039118,3.06584943108085,"GUCY1A2;ADCY4;ITPR1;ADCY3;ITPR2;ATP1A2;SLC4A2;ADCY1;ATP1A1;ATP2B1;ADRA1B;ATP1B1;ADCY8;CST3;PLCB4;TRPV6;GNAQ;KCNMA1;PRKG2;PLCB1;CALM1;PRKACB;PRKG1;VAMP2"
"Pancreatic secretion","26/102",0.110568637152823,0.206743723907053,0,0,1.3609746783772,2.99702792578839,"RAB3D;ITPR1;ADCY4;ITPR2;ATP2A2;ADCY3;ATP1A2;SLC4A2;ADCY1;ATP1A1;ADCY8;SLC4A4;RAP1B;CCKAR;CLCA2;RAC1;PLA2G2A;RAB27B;CCK;ATP2B1;ATP1B1;TPCN2;PLCB4;GNAQ;KCNMA1;PLCB1"
