"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Hematopoietic cell lineage","8/99",0.86279633623406,0.977628942135716,0,0,0.712792013478512,0.105191429585632,"CSF1;ITGA4;ITGA3;ANPEP;ITGA1;CD9;ITGA6;IL6R"
"Other glycan degradation","1/18",0.876493823869654,0.988162724896763,0,0,0.477404465435809,0.062934140124673,"GBA2"
"RNA transport","16/186",0.8783668665749,0.988162724896763,0,0,0.762495609176146,0.0988887640191573,"UPF1;SEH1L;EIF1AX;THOC2;RANGAP1;GLE1;NUP93;FXR2;NUP50;EIF4EBP2;STRAP;RNPS1;NUP98;EIF4E2;KPNB1;EIF3A"
"Glycosaminoglycan degradation","1/19",0.890048287825959,0.994760566834048,0,0,0.450856650446066,0.052515585053114,"HPSE"
"Base excision repair","2/33",0.890547555070481,0.994760566834048,0,0,0.523431633809867,0.0606755537960336,"POLD4;NEIL1"
"Intestinal immune network for IgA production","3/48",0.909169860585621,0.999996070592135,0,0,0.540700152207002,0.0514872727723006,"CD40;ITGA4;LTBR"
"Ether lipid metabolism","3/49",0.916279155076873,0.999996070592135,0,0,0.528916021441334,0.0462453525263954,"PLA2G2A;PLB1;PAFAH1B2"
"African trypanosomiasis","2/37",0.92457545494626,0.999996070592135,0,0,0.463506552780857,0.0363484686721853,"PLCB4;GNAQ"
"Mismatch repair","1/23",0.930939486490898,0.999996070592135,0,0,0.368799767750498,0.0263916809973139,"POLD4"
"Protein export","1/23",0.930939486490898,0.999996070592135,0,0,0.368799767750498,0.0263916809973139,"SPCS3"
"Allograft rejection","2/38",0.931369140989687,0.999996070592135,0,0,0.450606014503778,0.0320378987544536,"CD40;HLA-E"
"Coronavirus disease","19/232",0.933646143840155,0.999996070592135,0,0,0.721903330439552,0.0495642753676078,"CHUK;STAT1;C1R;STAT3;PIK3CD;PIK3R1;MAPK14;RELA;IKBKB;NFKBIA;MAPK11;ADAM17;MAVS;C6;C7;PIK3CA;PLCG2;IL6R;NFKBIB"
"Antigen processing and presentation","5/78",0.939109703116418,0.999996070592135,0,0,0.555145125341214,0.0348758693676891,"NFYB;PSME3;HSPA2;HLA-E;LGMN"
"Fanconi anemia pathway","3/54",0.944769760436933,0.999996070592135,0,0,0.47692720923986,0.0270961524443376,"MUS81;RAD51;REV3L"
"Maturity onset diabetes of the young","1/26",0.951278068877641,0.999996070592135,0,0,0.324489051094891,0.0162078591192196,"NKX6-1"
"Oxidative phosphorylation","9/133",0.962514919716613,0.999996070592135,0,0,0.587657302375044,0.0224518656116655,"ATP6V0B;ATP6V0E1;UQCRC1;ATP6V0A2;COX11;TCIRG1;ATP6V1E1;COX7A1;ATP6V0A1"
"Asthma","1/31",0.972762429410287,0.999996070592135,0,0,0.270331508515815,0.00746530992860984,"CD40"
"Galactose metabolism","1/31",0.972762429410287,0.999996070592135,0,0,0.270331508515815,0.00746530992860984,"UGP2"
"Fructose and mannose metabolism","1/33",0.978416070110572,0.999996070592135,0,0,0.253407276459854,0.0055294151558041,"PFKFB3"
"Autoimmune thyroid disease","2/53",0.984120846858101,0.999996070592135,0,0,0.317806355769145,0.00508699210269442,"CD40;HLA-E"
"DNA replication","1/36",0.98477493719747,0.999996070592135,0,0,0.231647549530761,0.00355397239547666,"POLD4"
"Systemic lupus erythematosus","8/135",0.984821727601992,0.999996070592135,0,0,0.509702877529325,0.00779572273047748,"CD40;C6;SSB;C7;C1R;ACTN1;ACTN4;SNRPB"
"Spliceosome","9/150",0.987283760641599,0.999996070592135,0,0,0.516308159925181,0.00660759966339322,"HNRNPM;RBMXL1;SNRNP70;DHX16;THOC2;HSPA2;USP39;SMNDC1;SNRPB"
"Primary immunodeficiency","1/38",0.987935677765223,0.999996070592135,0,0,0.219101400670744,0.00265938418537504,"CD40"
"Cytokine-cytokine receptor interaction","21/295",0.990323073309107,0.999996070592135,0,0,0.618678670806952,0.00601606382226849,"ACVRL1;CD40;EDA;MSTN;CSF1;IFNGR1;IL16;LIFR;INHBB;INHBA;OSMR;TNFRSF1B;ACVR1B;BMP6;GDF7;IL17RA;TGFBR2;LEP;LTBR;BMPR1B;IL6R"
"Nicotine addiction","1/40",0.990440366808665,0.999996070592135,0,0,0.20784203630919,0.00199645157843324,"GRIA1"
"Graft-versus-host disease","1/42",0.992425125379472,0.999996070592135,0,0,0.197681146519494,0.00150311004937377,"HLA-E"
"Steroid hormone biosynthesis","2/61",0.992923636648368,0.999996070592135,0,0,0.274590195638552,0.0019500076445766,"HSD11B1;CYP19A1"
"Type I diabetes mellitus","1/43",0.993257179502575,0.999996070592135,0,0,0.192963590545707,0.00130552527801574,"HLA-E"
"Ribosome biogenesis in eukaryotes","5/108",0.993970859096288,0.999996070592135,0,0,0.392786780497329,0.00237533467562587,"RBM28;REXO1;SBDS;GNL2;GTPBP4"
"Viral protein interaction with cytokine and cytokine receptor","4/100",0.996526193827394,0.999996070592135,0,0,0.337121212121212,0.00117313254689271,"CSF1;LTBR;TNFRSF1B;IL6R"
"Taste transduction","2/86",0.999473926315763,0.999996070592135,0,0,0.192595248962205,0.000101345952245236,"PLCB4;PDE1A"
"Aminoacyl-tRNA biosynthesis","1/66",0.999534513382337,0.999996070592135,0,0,0.124522740033689,5.79771639245271e-05,"CARS2"
"Staphylococcus aureus infection","2/95",0.999796196128341,0.999996070592135,0,0,0.173868661140639,3.54387176972188e-05,"CFH;C1R"
"Herpes simplex virus 1 infection","21/498",0.999994405967782,0.999996070592135,0,0,0.351268865028898,1.96501484449254e-06,"ZNF275;CHUK;IFNGR1;STAT1;PIK3CD;PTPN11;PIK3R1;TICAM1;MTOR;RELA;HLA-E;PPP1CA;IKBKB;PPP1CB;NFKBIA;MAVS;PIK3CA;RHEB;CASP3;AKT3;JAK2"
"Olfactory transduction","5/440",0.99999461099994,0.999996070592135,0,0,0.091260585429406,4.91804625531262e-07,"CAMK2D;GUCY2D;PDE1A;ADCY3;CALM1"
"Neuroactive ligand-receptor interaction","12/341",0.999994887966862,0.999996070592135,0,0,0.292295020967209,1.49422565240208e-06,"GRIA1;OXTR;EDNRB;THRB;P2RY14;LEP;LPAR1;GNRH1;ADM;GRIK1;CCK;ADRA1B"
"Ribosome","1/158",0.999996070592135,0.999996070592135,0,0,0.0512866706959877,2.0152664314178e-07,"MRPL15"
