"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Axon guidance","30/182",0.000817944383620746,0.019820233682208,0,0,2.01874906813777,14.3507142333884,"SEMA5A;ROBO3;SEMA3D;SEMA3A;CAMK2A;SEMA3B;LRRC4;PIK3R3;PARD6G;EFNA4;ROBO1;EFNB1;PLXNA2;SRGAP3;EPHB2;PAK3;NEO1;EPHB4;EPHB3;MAPK3;EPHA5;NTNG1;UNC5B;SEMA6D;WNT5A;LIMK1;NFATC4;CXCL12;SMO;PLXNB2"
"Glioma","16/75",0.000860478532440447,0.019820233682208,0,0,2.76613218242966,19.5234214953227,"CDKN1A;CAMK1D;CDKN2A;CAMK2A;PTEN;PIK3R3;IGF1;EGFR;DDB2;GADD45G;CDK6;CDK4;CAMK4;MDM2;TP53;MAPK3"
"Circadian entrainment","19/97",0.000900919712827635,0.019820233682208,0,0,2.48623382998383,17.4337063493516,"GUCY1A2;CAMK2A;ADCY4;CACNA1C;ADCY1;ADCY8;CACNA1G;PER2;GRIN2A;RPS6KA5;CREB1;GNG2;PER3;PRKG2;PLCB1;PRKACB;GRIA3;PRKG1;MAPK3"
"Prostate cancer","19/97",0.000900919712827635,0.019820233682208,0,0,2.48623382998383,17.4337063493516,"CDKN1A;HSP90AA1;TCF7L1;HSP90AB1;PTEN;PIK3R3;IGF1;EGFR;CREB1;PLAU;CREB3L1;PDGFC;BCL2;MDM2;TP53;FGFR2;ATF4;CREB5;MAPK3"
"Aldosterone synthesis and secretion","19/98",0.00102530220366884,0.0209283405691759,0,0,2.45462709544988,16.8946285225732,"SCARB1;DAGLA;CAMK1D;PRKCE;CAMK2A;ADCY4;ATP1A2;CACNA1C;ADCY1;ADCY8;AGT;CACNA1G;CREB1;CREB3L1;CAMK4;PLCB1;PRKACB;ATF4;CREB5"
"Relaxin signaling pathway","23/129",0.00108718652307407,0.0209283405691759,0,0,2.21621981345032,15.1238432367125,"JUN;MMP2;ADCY4;PIK3R3;VEGFC;ADCY1;ADCY8;RXFP1;EGFR;VEGFA;COL1A1;MAPK10;COL3A1;COL1A2;CREB1;GNG2;CREB3L1;COL4A5;PLCB1;PRKACB;ATF4;CREB5;MAPK3"
"Fluid shear stress and atherosclerosis","24/139",0.00136040638341501,0.0225114130881114,0,0,2.1317359389193,14.0693971086349,"GSTM3;NQO1;MEF2C;GSTM2;JUN;HSP90AA1;VCAM1;HSP90AB1;SDC4;MMP2;PIK3R3;ASS1;VEGFA;MAPK10;GSTA4;GPC1;BCL2;HMOX1;SDC1;ARHGEF2;SQSTM1;TP53;MAP2K6;GSTM5"
"Breast cancer","25/147",0.00136416906938492,0.0225114130881114,0,0,2.09352134852274,13.8113995069068,"CDKN1A;NOTCH1;PTEN;PIK3R3;BRCA1;DLL1;EGFR;LRP6;DVL2;WNT2;MAPK3;JAG2;JUN;TCF7L1;JAG1;FZD7;WNT5A;IGF1;ESR1;GADD45G;DDB2;CDK6;CDK4;TP53;FGF10"
"GnRH signaling pathway","18/93",0.0014019245105262,0.0225114130881114,0,0,2.44862127180642,16.0872197538514,"JUN;MMP2;PLA2G4C;CAMK2A;ADCY4;PLA2G4A;ADCY1;CACNA1C;ADCY8;PLD1;EGFR;MAPK10;PLCB1;PRKACB;MAP3K4;ATF4;MAP2K6;MAPK3"
"Calcium signaling pathway","36/240",0.00155174753501603,0.0225114130881114,0,0,1.80593920342441,11.6814893604291,"CHRM2;PTGFR;CAMK2A;ADCY4;ADCY1;CACNA1C;HTR2A;ADCY8;EGFR;SLC8A1;CACNA1G;EDNRA;GRIN2A;HRH1;CCKAR;TBXA2R;PDGFC;BDKRB2;BDKRB1;PRKACB;CAMK1D;HGF;VEGFC;NGF;VEGFA;ITPKB;P2RX7;P2RX6;ASPH;STIM2;CAMK4;ORAI2;PLCB1;FGFR4;FGFR2;FGF10"
